" ","CRS","Município","Doses destinadas","Doses aplicadas","% aplicado","1ª dose","2ª dose","Dose única","Não residentes vacinados","População geral","% pop. pelo menos uma dose","% pop. esquema vacinal completo"
"+ Detalhes","1","430060 - Alvorada","191185","175959","92,0%","119090","52477","4392","17226 (10,0%)","210305","63.5% (133454)","30.3% (63687)"
"+ Detalhes","1","430310 - Cachoeirinha","135509","118333","87,3%","80598","34567","3168","28415 (24,7%)","130293","64.9% (84588)","31.0% (40379)"
"+ Detalhes","1","430905 - Glorinha","8561","5817","67,9%","4083","1526","208","537 (9,6%)","8098","66.3% (5373)","29.0% (2346)"
"+ Detalhes","1","430920 - Gravataí","279839","258858","92,5%","173628","78931","6299","45115 (17,9%)","281519","61.7% (173578)","29.5% (82995)"
"+ Detalhes","1","431490 - Porto Alegre","1744954","1632054","93,5%","1002255","586020","43779","219917 (13,8%)","1483771","69.1% (1025979)","40.4% (599880)"
"+ Detalhes","1","432300 - Viamão","259642","227733","87,7%","157784","64298","5651","60380 (27,2%)","255224","53.3% (136156)","26.3% (67011)"
"+ Detalhes","1","430085 - Arambaré","4834","4478","92,6%","2825","1569","84","352 (8,0%)","3581","91.3% (3268)","50.3% (1801)"
"+ Detalhes","1","430110 - Arroio dos Ratos","16306","14772","90,6%","9493","4604","675","2268 (16,1%)","14151","70.6% (9992)","38.3% (5415)"
"+ Detalhes","1","430175 - Barão do Triunfo","7617","6065","79,6%","4146","1743","176","611 (10,4%)","7487","57.8% (4330)","25.5% (1908)"
"+ Detalhes","1","430190 - Barra do Ribeiro","15028","17791","118,4%","11161","6355","275","6277 (35,8%)","13491","67.0% (9045)","33.2% (4476)"
"+ Detalhes","1","430270 - Butiá","22032","19741","89,6%","13403","5838","500","1989 (10,3%)","20941","65.8% (13773)","30.1% (6305)"
"+ Detalhes","1","430350 - Camaquã","69915","64960","92,9%","43883","19342","1735","4603 (7,3%)","66261","70.4% (46648)","32.3% (21404)"
"+ Detalhes","1","430517 - Cerro Grande do Sul","11809","9479","80,3%","6735","2483","261","787 (8,5%)","12239","58.6% (7176)","22.9% (2802)"
"+ Detalhes","1","430535 - Charqueadas","47823","40082","83,8%","24527","12443","3112","6976 (18,9%)","40789","62.3% (25404)","33.4% (13627)"
"+ Detalhes","1","430544 - Chuvisca","5693","4520","79,4%","3364","1012","144","321 (7,3%)","5441","65.7% (3577)","21.3% (1161)"
"+ Detalhes","1","430650 - Dom Feliciano","15578","13523","86,8%","9324","3829","370","432 (3,3%)","15414","66.3% (10212)","28.4% (4372)"
"+ Detalhes","1","430676 - Eldorado do Sul","40102","35956","89,7%","24526","10542","888","8221 (23,4%)","41285","58.6% (24174)","27.2% (11229)"
"+ Detalhes","1","430880 - General Câmara","9522","8350","87,7%","5537","2616","197","828 (10,2%)","8385","71.6% (6002)","35.8% (3006)"
"+ Detalhes","1","430930 - Guaíba","101574","83329","82,0%","59041","21909","2379","12127 (15,0%)","98143","61.9% (60738)","25.9% (25450)"
"+ Detalhes","1","431198 - Mariana Pimentel","5051","4247","84,1%","2696","1457","94","465 (11,2%)","3885","79.1% (3074)","42.9% (1665)"
"+ Detalhes","1","431225 - Minas do Leão","8663","6847","79,0%","4905","1769","173","750 (11,2%)","8075","63.8% (5154)","25.3% (2042)"
"+ Detalhes","1","431840 - São Jerônimo","25616","23493","91,7%","14870","8036","587","3606 (15,7%)","24248","63.5% (15403)","33.7% (8166)"
"+ Detalhes","1","432035 - Sentinela do Sul","6476","5866","90,6%","3723","2018","125","1015 (17,7%)","5581","65.0% (3629)","35.5% (1981)"
"+ Detalhes","1","432055 - Sertão Santana","7459","6797","91,1%","4585","2072","140","657 (9,9%)","6486","73.7% (4779)","34.9% (2261)"
"+ Detalhes","1","432110 - Tapes","18958","16487","87,0%","10458","5646","383","2295 (14,3%)","17300","63.3% (10953)","34.5% (5965)"
"+ Detalhes","1","430087 - Araricá","6845","6523","95,3%","4165","2153","205","1743 (27,6%)","5698","67.8% (3864)","35.8% (2038)"
"+ Detalhes","1","430390 - Campo Bom","67495","64822","96,0%","42128","20866","1828","7415 (11,8%)","66712","67.5% (45005)","34.1% (22750)"
"+ Detalhes","1","430640 - Dois Irmãos","33562","30713","91,5%","20629","9214","870","2166 (7,3%)","32671","71.2% (23258)","32.7% (10687)"
"+ Detalhes","1","430760 - Estância Velha","51209","46194","90,2%","31742","13121","1331","5115 (11,4%)","50022","67.4% (33715)","29.3% (14652)"
"+ Detalhes","1","431080 - Ivoti","25203","23506","93,3%","15678","7127","701","2233 (9,8%)","24293","70.4% (17107)","33.4% (8110)"
"+ Detalhes","1","431162 - Lindolfo Collor","5897","4706","79,8%","3453","1072","181","408 (9,0%)","6054","60.6% (3669)","21.6% (1310)"
"+ Detalhes","1","431247 - Morro Reuter","7177","7137","99,4%","4595","2349","193","378 (5,4%)","6407","79.4% (5086)","41.4% (2651)"
"+ Detalhes","1","431306 - Nova Hartz","19542","18454","94,4%","12376","5531","547","2001 (11,2%)","21615","59.2% (12790)","27.7% (5991)"
"+ Detalhes","1","431340 - Novo Hamburgo","264220","234497","88,8%","157577","71379","5541","36268 (15,8%)","246748","62.4% (154064)","29.7% (73364)"
"+ Detalhes","1","431480 - Portão","36693","32032","87,3%","22198","8971","863","2821 (9,1%)","37079","64.8% (24029)","27.6% (10216)"
"+ Detalhes","1","431514 - Presidente Lucena","3503","3064","87,5%","2121","858","85","210 (7,0%)","2901","80.0% (2321)","34.4% (998)"
"+ Detalhes","1","431695 - Santa Maria do Herval","7315","7665","104,8%","4746","2727","192","954 (12,8%)","6331","69.6% (4406)","41.9% (2653)"
"+ Detalhes","1","431848 - São José do Hortêncio","5071","4871","96,1%","3142","1604","125","320 (6,7%)","4804","67.7% (3250)","35.6% (1711)"
"+ Detalhes","1","431870 - São Leopoldo","239602","187673","78,3%","130300","53103","4270","31070 (16,9%)","236835","54.7% (129509)","24.7% (58451)"
"+ Detalhes","1","431990 - Sapiranga","76729","72460","94,4%","49478","20947","2035","4184 (5,9%)","81734","68.1% (55629)","30.1% (24599)"
"+ Detalhes","1","430165 - Barão","6817","6388","93,7%","4278","1935","175","342 (5,5%)","6171","75.6% (4666)","35.3% (2176)"
"+ Detalhes","1","430265 - Brochier","6208","6603","106,4%","3921","2572","110","432 (6,7%)","5074","79.0% (4006)","51.9% (2633)"
"+ Detalhes","1","430460 - Canoas","383717","336575","87,7%","234685","92555","9335","70072 (21,4%)","346616","64.6% (223985)","28.1% (97321)"
"+ Detalhes","1","430468 - Capela de Santana","12575","9778","77,8%","6647","2852","279","1060 (11,2%)","11940","58.3% (6966)","26.8% (3195)"
"+ Detalhes","1","430770 - Esteio","93501","81140","86,8%","54073","25011","2056","16093 (20,3%)","83202","68.8% (57227)","33.1% (27540)"
"+ Detalhes","1","430955 - Harmonia","5665","4697","82,9%","3282","1273","142","330 (7,2%)","4866","75.0% (3650)","31.8% (1547)"
"+ Detalhes","1","431179 - Maratá","3404","3593","105,6%","2116","1398","79","258 (7,3%)","2691","81.9% (2205)","53.5% (1441)"
"+ Detalhes","1","431240 - Montenegro","70976","57401","80,9%","36289","18451","2661","6193 (11,3%)","65264","60.5% (39455)","32.4% (21139)"
"+ Detalhes","1","431337 - Nova Santa Rita","30981","26327","85,0%","18321","7027","979","6503 (25,7%)","29300","59.7% (17490)","25.7% (7528)"
"+ Detalhes","1","431403 - Pareci Novo","4587","3813","83,1%","2563","1131","119","375 (10,2%)","3837","76.2% (2922)","35.8% (1372)"
